,parish,municipality,parish_old,matched_parish
53895,Refteled,Jonkopings lan ,Refteled,Reftele
53899,Voxtorp,Jonkopings lan ,Voxtorp,Voxtorp
53902,Mar- back,Jonkopings lan ,Mar- back,Marback
53906,Vrigstad,Jonkopings lan ,Vrigstad,Vrigstad
53911,Skiro,Jonkopings lan ,Skiro,Skiro
53917,Nye,Jonkopings lan ,Nye,Nye
53942,Tofteryd,Jonkopings lan ,Tofteryd,Tofteryd
53947,Nasby,Jonkopings lan ,Nasby,Nasby
53950,Forserum,Jonkopings lan ,Forserum,Forserum
53956,Nydala,Jonkopings lan ,Nydala,Nydala
53958,Anderstorp,Jonkopings lan ,Anderstorp,Anderstorp
53961,Flisby,Jonkopings lan ,Flisby,Flisby
53967,Aker,Jonkopings lan ,Aker,Aker
53968,Bredestad,Jonkopings lan ,Bredestad,Bredestad
53985,Rogberga,Jonkopings lan ,Rogberga,Rogberga
54004,Skarstad,Jonkopings lan ,Skarstad,Skarstad
54022,Forsheda,Jonkopings lan ,Forsheda,Forsheda
54043,Lommaryd,Jonkopings lan ,Lommaryd,Lommaryd
54052,Skede,Jonkopings lan ,Skede,Skede
54059,Eksjo,Jonkopings lan ,Eksjo,Eksjo
54065,Hagshult,Jonkopings lan ,Hagshult,Hagshult
54079,Frinnaryd,Jonkopings lan ,Frinnaryd,Frinnaryd
54081,Byarum,Jonkopings lan ,Byarum,Byarum
54102,Bruseryd,Jonkopings lan ,Bruseryd,Burseryd
54108,Lannaskede,Jonkopings lan ,Lannaskede,Lannaskede
54118,Askeryd,Jonkopings lan ,Askeryd,Askeryd
54139,Bararyd,Jonkopings lan ,Bararyd,Bararyd
54143,Bredaryd,Jonkopings lan ,Bredaryd,Bredaryd
54151,Vallsjo,Jonkopings lan ,Vallsjo,Vallsjo
54161,Kalleryd,Jonkopings lan ,Kalleryd,Kalleryd
54169,Karda,Jonkopings lan ,Karda,Karda
54197,Lomma- ryd,Jonkopings lan ,Lomma- ryd,Lommaryd
54203,Lom- maryd,Jonkopings lan ,Lom- maryd,Lommaryd
54208,Bondstorp,Jonkopings lan ,Bondstorp,Bondstorp
54231,Bringetofta,Jonkopings lan ,Bringetofta,Bringetofta
54233,Horeda,Jonkopings lan ,Horeda,Horeda
54242,Myresjo,Jonkopings lan ,Myresjo,Myresjo
54254,Inga- torp,Jonkopings lan ,Inga- torp,Ingatorp
54261,Villstad,Jonkopings lan ,Villstad,Villstad
54263,Villastad,Jonkopings lan ,Villastad,Villstad
54281,Krakshult,Jonkopings lan ,Krakshult,Krakshult
54291,Oggestorp,Jonkopings lan ,Oggestorp,Oggestorp
54302,Odestugu,Jonkopings lan ,Odestugu,Odestugu
54315,Burseryd,Jonkopings lan ,Burseryd,Burseryd
54326,Olmstad,Jonkopings lan ,Olmstad,Olmstad
54330,Kallaryd,Jonkopings lan ,Kallaryd,Gallaryd
54331,Jarsnas,Jonkopings lan ,Jarsnas,Jarsnas
54358,Hylletofta,Jonkopings lan ,Hylletofta,Hylletofta
54363,Mansarp,Jonkopings lan ,Mansarp,Mansarp
54372,Balaryd,Jonkopings lan ,Balaryd,Balaryd
54416,Marback,Jonkopings lan ,Marback,Marback
54441,Monsteras,Kalmar lan ,Monsteras,Monsteras
54443,Flisaryd,Kalmar lan ,Flisaryd,Fliseryd
54444,Ed,Kalmar lan ,Ed,Ed
54445,Hallingeberg,Kalmar lan ,Hallingeberg,Hallingeberg
54447,Hogsby,Kalmar lan ,Hogsby,Hogsby
54449,Morlunda,Kalmar lan ,Morlunda,Morlunda
54450,Alem,Kalmar lan ,Alem,Alem
54451,Lonne- berga,Kalmar lan ,Lonne- berga,Lonneberga
54453,Morbylanga,Kalmar lan ,Morbylanga,Morbylanga
54454,Modesjo,Kalmar lan ,Modesjo,Madesjo
54462,Aby,Kalmar lan ,Aby,Aby
54467,Dorby,Kalmar lan ,Dorby,Dorby
54472,Nybro,Kalmar lan ,Nybro,Nybro
54473,Gamleby,Kalmar lan ,Gamleby,Gamleby
54478,Lofta,Kalmar lan ,Lofta,Lofta
54479,Gardveda,Kalmar lan ,Gardveda,Gardveda
54481,Kristvalla,Kalmar lan ,Kristvalla,Kristvalla
54482,Rumskulla,Kalmar lan ,Rumskulla,Rumskulla
54501,Loftahammar,Kalmar lan ,Loftahammar,Loftahammar
54503,Hallingsberg,Kalmar lan ,Hallingsberg,Hallingeberg
54514,Odensvi,Kalmar lan ,Odensvi,Odensvi
54516,Doderhult,Kalmar lan ,Doderhult,Doderhult
54517,Klackeberga,Kalmar lan ,Klackeberga,Klackeberga
54519,Grasgard,Kalmar lan ,Grasgard,Grasgard
54529,Nybro,Kalmar lan ,"""Nybro",Nybro
54535,Vissefjarda,Kalmar lan ,Vissefjarda,Vissefjarda
54537,Virserum,Kalmar lan ,Virserum,Virserum
54543,Pelarne,Kalmar lan ,Pelarne,Pelarne
54544,Misterhult,Kalmar lan ,Misterhult,Misterhult
54548,Soderakra,Kalmar lan ,Soderakra,Soderakra
54554,Ljungby,Kalmar lan ,Ljungby,Ljungby
54558,Vastrum,Kalmar lan ,Vastrum,Vastrum
54576,SMockleby,Kalmar lan ,S. Mockleby,Mockleby
54589,Blackstad,Kalmar lan ,Blackstad,Blackstad
54598,Glomminge,Kalmar lan ,Glomminge,Glomminge
54610,Runsten,Kalmar lan ,Runsten,Runsten
54619,Fogelfors,Kalmar lan ,Fogelfors,Fagelfors
54631,Lonneberga,Kalmar lan ,Lonneberga,Lonneberga
