parish,county
Gillhov,Jämtlands
Gillstad,Skaraborgs
Gingri,Älvsborgs
Giresta,Uppsala
Gislaved,Jönköpings
Gislöv,Skåne
Gistad,Östergötlands
Gladhammar,Kalmar
Gladsax,Kristianstads
Glanshammar,Örebro
Glava,Värmlands
Glemminge,Skåne
Glimåkra,Kristianstads
Glommersträsks kbfd,Norrbottens
Glömminge,Kalmar
Glostorp,Skåne
Glumslöv,Skåne
Gnarp,Gävleborgs
Gnosjö,Jönköpings
Godegård,Östergötlands
Gödelöv,Skåne
Gödestad,Hallands
Gökhem,Skaraborgs
Görslöv,Skåne
Gösslunda,Skaraborgs
Göta gardesregemente,Stockholms
Göta livgarde,Stockholms
Götalunden,Älvsborgs
Göteborgs Annedal,Västra Götalands
Göteborgs engelska,Västra Götalands
Göteborgs fattighusförsamling,Västra Götalands
Göteborgs garnisonsförsamling,Västra Götalands
Göteborgs Haga,Västra Götalands
Göteborgs Johanneberg,Västra Götalands
Göteborgs Karl Johan,Västra Götalands
Göteborgs katolska,Västra Götalands
Göteborgs Kristine,Västra Götalands
Göteborgs lutherska,Västra Götalands
Göteborgs Masthugg,Västra Götalands
Göteborgs mosaiska,Västra Götalands
Göteborgs Oskar Fredrik,Västra Götalands
Göteborgs reformerta,Västra Götalands
Göteborgs Sankt Pauli,Västra Götalands
Göteborgs spinnhusförsamling,Västra Götalands
Göteborgs Tyska,Västra Götalands
Göteborgs Vasa,Västra Götalands
Götene,Skaraborgs
Göteryd,Kronobergs
Göteve,Skaraborgs
Gothem,Gotlands
Götlunda,Skaraborgs
Götlunda,Västmanlands
Gottröra,Stockholms
Gottsunda,Uppsala
Gran,Uppsala
Grangärde,Dalarnas
Grängesberg,Dalarnas
Grängesberg-Hörkens kapellag,Dalarnas
Granhult,Kronobergs
Graninge,Västernorrlands
Gränna,Jönköpings
Gränna landsförsamling,Jönköpings
Gräsgård,Kalmar
Gräsmark,Värmlands
Gräsö,Uppsala
Grästorp i Tengene,Skaraborgs
Grava,Värmlands
Gräve,Örebro
Grebbestads kyrkoområde,Västra Götalands
Grebo,Östergötlands
Grenadjärbataljonen,Stockholms
Grevbäck,Skaraborgs
Grevie,Kristianstads
Grimeton,Hallands
Grimmared,Hallands
Grinneröd,Västra Götalands
Grinstad,Älvsborgs
